title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude
CCI Rivali Park Stargaze,25800000,1048,24618.320610687024,Borivali,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.21585846,72.86445618
CCI Rivali Park Moonrise,29400000,1105,26606.33484162896,Borivali,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.22673035,72.85987854
CCI Rivali Park Moonrise,30000000,1296,23148.14814814815,Borivali,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.22673035,72.85987854
Renaissance SPRING MEADOWS,7800000,440,17727.272727272728,Malad,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.19013023,72.85076904
Renaissance SPRING MEADOWS,7500000,440,17045.454545454544,Malad,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.18992043,72.85050964
Renaissance SPRING MEADOWS,7700000,440,17500.0,Malad,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.1878376,72.86705017
Romell Allure,10300000,507,20315.581854043394,Borivali,Mumbai,Apartment,1,2,0,Unfurnished,1,1,19.22890663,72.86195374
Romell Allure,16600000,705,23546.09929078014,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,1,1,19.22890663,72.86195374
A And O F Residences,18500000,812,22783.251231527094,Malad,Mumbai,Apartment,2,2,0,Unfurnished,2,1,19.19087029,72.86130524
Apex Green Wood,9100000,481,18918.91891891892,Borivali,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.22286224,72.85883331
Umiya Oasis,6900000,715,9650.34965034965,Mira Road,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.28604317,72.87023163
Jadeite Charkop Nandanvan CHSL,8900000,520,17115.384615384617,Kandivali,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.21466827,72.82371521
Param Agarwal Florence,20000000,728,27472.527472527472,Goregaon,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.16010094,72.84772491
Param Agarwal Florence,30000000,1015,29556.65024630542,Goregaon,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.16010094,72.84772491
 ,12400000,850,14588.235294117647,Kalwa,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.2050457,72.99949646
 ,6800000,680,10000.0,Kalwa,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.2050457,72.99949646
 ,13600000,1098,12386.15664845173,Kalwa,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.20948792,73.01093292
 ,6200000,650,9538.461538461539,Kalwa,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.2050457,72.99949646
 ,8500000,930,9139.78494623656,Kalwa,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.20948792,73.01093292
 ,10700000,845,12662.721893491123,Thane,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.22933769,72.96694946
Reputed Builder Panch Pakhadi,16600000,1175,14127.659574468085,Thane,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.20920753,72.94970703
 ,13000000,1250,10400.0,Kalwa,Mumbai,Apartment,3,2,0,Semi-Furnished,0,1,19.20948792,73.01093292
Sanghvi Ecocity,9100000,900,10111.111111111111,Mira Road,Mumbai,Apartment,2,2,0,Semi-Furnished,8,1,19.27293587,72.88097382
Milan Lekh Rekha Pragati,11125000,499,22294.589178356713,Andheri,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.11890793,72.86488342
Sanghvi Ecocity,7700000,675,11407.407407407407,Mira Road,Mumbai,Apartment,1,2,0,Semi-Furnished,8,1,19.27293587,72.88097382
 ,12700000,420,30238.095238095237,Jogeshwari,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.14257622,72.84370422
